Faculty_Full_Name,Rank,Professor_Type,Faculty_Author_Affiliation,pmids,pub_mesh_terms
"Shi, Xiaoyu",asst prof,research,"Shi, Xiaoyu[Author] AND Irvine[Affiliation] OR Shi, X[Author] AND Irvine[Affiliation]","['40279599', '40215501', '40032836', '40021189', '39918952', '39915446', '39878999', '39814881', '39798570', '39752696', '39485985', '39485965', '39423379', '39303265', '39303233', '39105364', '39094132', '38996325', '38982243', '38948754']","Vitis; Genome, Plant; Plant Breeding; Reproduction; Pollination; Genetic Variation; Genetics, Population; Heterozygote; Crops, Agricultural; Genome, Plant; Epigenomics; Genomics; Homozygote; Reproduction; Epigenesis, Genetic; Gene Expression Regulation, Plant; Genes, Plant; Diploidy; Chromosomes, Plant; Humans; Colorectal Neoplasms; Reactive Oxygen Species; Mitochondria; Phosphoprotein Phosphatases; Cytosol; Protein Serine-Threonine Kinases; Disease Progression; Phosphorylation; YAP-Signaling Proteins; Adaptor Proteins, Signal Transducing; Cell Line, Tumor; Animals; Serine-Threonine Kinase 3; Mice; Tumor Suppressor Proteins; Mitochondrial Proteins; Transcription Factors; HCT116 Cells; Animals; Mice; Endocytosis; Long-Term Potentiation; Receptors, AMPA; Synapses; Male; Acyltransferases; Memory Disorders; Peptides; Memory; Pinocytosis; Protein Kinase C; Hippocampus; Brain Injuries; Mice, Inbred C57BL; Humans; Humans; RNA Precursors; HeLa Cells; RNA Splicing; Cell Nucleus; RNA Polymerase II; RNA 3' End Processing; RNA, Messenger; HEK293 Cells; Protein Binding; Intrinsically Disordered Proteins; RNA Processing, Post-Transcriptional; Gene Expression Regulation; RNA-Binding Proteins; Humans; Proteomics; Staining and Labeling; Protein Interaction Mapping; Microscopy; Proteins"
"Sorte, Cascade",prof,research,"Sorte, Cascade[Author] AND Irvine[Affiliation] OR Sorte, C[Author] AND Irvine[Affiliation]","['38600085', '37546568', '37260224', '36806368', '35972940', '35622892', '35257208', '35039551']",Biodiversity; Conservation of Natural Resources; Ecosystem; Europe; Introduced Species; Nitrogen; Animals; Ecosystem; Carbon Dioxide; Alaska; Oxygen; Hydrogen-Ion Concentration; Humans; Ecosystem; Biodiversity; Introduced Species; Plants; Geography; Biodiversity; Ecosystem; Human Activities; Humans; Introduced Species; Anthropogenic Effects; Climate Change; Ecosystem; Humans; Introduced Species; Temperature; Animals; Climate Change; Ecosystem; Gastropoda; Predatory Behavior; Species Specificity
"Stark, Craig",prof,research,"Stark, Craig[Author] AND Irvine[Affiliation] OR Stark, C[Author] AND Irvine[Affiliation]","['40233872', '40093240', '39974878', '39763904', '39547056', '39450914', '39450487', '39268219', '39239893', '39239892', '39055313', '39055052', '38826456', '38561226', '38559159', '38527084', '38481469', '38076964', '37908438', '37690498']","Animals; Dogs; Alzheimer Disease; NFATC Transcription Factors; Disease Models, Animal; Cognition; Calcineurin Inhibitors; Tacrolimus; Calcineurin; Aging; Male; Female; Spatial Learning; Memory; Cognitive Dysfunction; Hippocampus; Humans; Magnetic Resonance Imaging; Quality Control; Image Processing, Computer-Assisted; Reproducibility of Results; Neuroimaging; Humans; Aged; Female; Male; Magnetic Resonance Imaging; Aging; Temporal Lobe; Hippocampus; Aged, 80 and over; Middle Aged; Cognitive Dysfunction; Image Processing, Computer-Assisted; Atlases as Topic; Atrophy; Entorhinal Cortex; Mental Status and Dementia Tests; Adult; Aged; Humans; Male; Middle Aged; Young Adult; Alzheimer Disease; Amyloid beta-Peptides; Benchmarking; Biomarkers; Cognition; Memory; Models, Biological; tau Proteins; Female; Humans; Alzheimer Disease; Cognitive Dysfunction; Female; Male; tau Proteins; Aged; Positron-Emission Tomography; Biomarkers; Amyloid beta-Peptides; Disease Progression; Neuropsychological Tests; Aged, 80 and over; Animals; Dogs; Female; Atrophy; Male; Aging; Brain; Tacrolimus; Behavior, Animal; Magnetic Resonance Imaging; Humans; Magnetic Resonance Imaging; Male; Female; Young Adult; Adult; Brain Mapping; Learning; Reading; Verbal Learning; Oxygen; Hippocampus; Cerebral Cortex; Pattern Recognition, Visual; Humans; Hallux Valgus; Reproducibility of Results; Foot; Foot Deformities; Radiography"
"Striedter, Georg",prof,research,"Striedter, Georg[Author] AND Irvine[Affiliation] OR Striedter, G[Author] AND Irvine[Affiliation]",[],
"Suetterlin, Christine",prof,research,"Suetterlin, Christine[Author] AND Irvine[Affiliation] OR Suetterlin, C[Author] AND Irvine[Affiliation] OR 0000-0003-1354-507X[Author - Identifier]","['39670716', '38885287', '35726915', '35703434']","Chlamydia trachomatis; Humans; Bacterial Proteins; Gene Knockdown Techniques; HeLa Cells; Membrane Proteins; Sorting Nexins; Gene Expression Regulation, Bacterial; Chlamydia trachomatis; Cilia; Chlamydia Infections; Humans; Epithelial Cells; Chlamydia trachomatis; Escherichia coli; Gene Expression Regulation, Bacterial; RNA, Messenger; RNA, Small Untranslated; Reverse Genetics; AMP-Activated Protein Kinases; Bacterial Proteins; Chlamydia; Chlamydia Infections; Chlamydia trachomatis; Humans; Lipids; Proto-Oncogene Proteins c-akt"
"Sumikawa, Katumi",prof,research,"Sumikawa, Katumi[Author] AND Irvine[Affiliation] OR Sumikawa, K[Author] AND Irvine[Affiliation]","['39522675', '36029955']","Animals; Prefrontal Cortex; Receptor, Muscarinic M1; Nicotine; Male; Hippocampus; Female; Pyramidal Cells; Allosteric Regulation; N-Methylaspartate; Rats, Sprague-Dawley; Nicotinic Agonists; Rats; Interneurons; Long-Term Potentiation; Receptors, N-Methyl-D-Aspartate; CA1 Region, Hippocampal; Quinolines; Animals; Female; Hippocampus; Long-Term Potentiation; Mice; Mice, Inbred C57BL; Mice, Knockout; Nicotine; Nicotinic Agonists; Pregnancy; Receptors, Nicotinic"
"Sun, Sha",assoc prof,research,"Sun, Sha[Author] AND Irvine[Affiliation] OR Sun, S[Author] AND Irvine[Affiliation]","['40341981', '40334661', '40279599', '40215501', '40021189', '39878999', '39752696', '39632215', '39546568', '39508510', '39483792', '39485985', '39485965', '39479477', '39423379', '39404623', '39303265', '39303233', '39291347', '39270182']","Humans; Carcinoma, Non-Small-Cell Lung; ErbB Receptors; Lung Neoplasms; Exons; Female; Male; Prognosis; Biomarkers, Tumor; Middle Aged; Mutagenesis, Insertional; Protein Kinase Inhibitors; Aged; Circulating Tumor DNA; Drug Resistance, Neoplasm; Radiology; Humans; Educational Measurement; Specialty Boards; Retrospective Studies; Large Language Models; RNA, Long Noncoding; Female; Humans; Ovarian Neoplasms; Neoplastic Stem Cells; Cell Plasticity; Cell Line, Tumor; Gene Expression Regulation, Neoplastic; Humans; Diagnosis, Differential; Reproducibility of Results; Algorithms"
"Swarup, Vivek",assoc prof,research,"Swarup, Vivek[Author] AND Irvine[Affiliation] OR Swarup, V[Author] AND Irvine[Affiliation]","['40482637', '40387921', '40060680', '40015966', '39988890', '39844286', '39809279', '39578645', '39484433', '39282421', '39053462', '38907165', '38895362', '38869276', '38616896', '38534018', '38489267', '38460121', '38426371', '37546983']","Humans; Down Syndrome; Alzheimer Disease; Apolipoproteins E; Female; Male; Middle Aged; Aged; Brain; Adult; Animals; Brain; Mice; Postmortem Changes; Transcriptome; Mice, Transgenic; Tauopathies; Neurons; Male; Disease Models, Animal; Mice, Inbred C57BL; Time Factors; Animals; Microglia; Integrases; Mice; Mice, Transgenic; Alzheimer Disease; Disease Models, Animal; Brain; Mice, Inbred C57BL; Plaque, Amyloid; Male; Female; Animals; Microglia; Mice; Alzheimer Disease; Plaque, Amyloid; tau Proteins; Mice, Transgenic; Disease Models, Animal; Tauopathies; Brain; Apolipoproteins E; Humans; Animals; Mice; Humans; Spinal Cord Injuries; Wound Healing; Myeloid Cells; Spinal Cord; Aging; Female; Mice, Inbred C57BL; Killer Cells, Natural; Male; Natural Killer T-Cells; CD8-Positive T-Lymphocytes; Alzheimer Disease; Animals; Humans; Down Syndrome; Transcriptome; Mice; Female; Gene Expression Profiling; Disease Models, Animal; Male; Cell Nucleus; Aged; Gene Regulatory Networks; Aged, 80 and over; Cell Communication; Animals; Immunity, Innate; Mice; Aging; Remyelination; Microglia; Myeloid Cells; Central Nervous System; Mice, Inbred C57BL; Myelin Sheath; Epigenesis, Genetic; Demyelinating Diseases; Disease Models, Animal; Animals; Astrocytes; Spinal Cord Injuries; Mice; Male; Wound Healing; Female; Stroke; Mice, Inbred C57BL; Cellular Reprogramming; Oligodendrocyte Precursor Cells; Cell Proliferation; MicroRNAs; Encephalitis Virus, Japanese; Microglia; Fatty Acids, Volatile; Mice; Animals; Inflammation; Encephalitis, Japanese; Cell Line; Transcription Factors; NF-KappaB Inhibitor alpha; NF-kappa B; Signal Transduction; Humans; Alzheimer Disease; Humans; Systems Biology; Gene Regulatory Networks; Epigenomics; Genomics; Brain; Multiomics; Mice; Animals; Habenula; Cocaine; Memory; Gene Expression Regulation; Recurrence; Animals; Mice; Alzheimer Disease; Amyloid beta-Peptides; Disease Models, Animal; Mice, Transgenic; Neuroglia; Plaque, Amyloid; Humans; Mice; Humans; Female; Animals; Alzheimer Disease; Plaque, Amyloid; Resilience, Psychological; Mice, Inbred C57BL; Microglia; Genetic Variation; Disease Models, Animal; Mice, Transgenic; Amyloid beta-Peptides"
"Symons, Celia",asst prof,research,"Symons, Celia[Author] AND Irvine[Affiliation] OR Symons, C[Author] AND Irvine[Affiliation]","['40198102', '38840430', '38273540', '38273537', '36930600', '36707927', '35767874', '35315562', '35193976']","Ecosystem; Biodiversity; Conservation of Natural Resources; Humans; Climate Change; Lakes; Wildfires; Smoke; Ecosystem; North America; Environmental Monitoring; Ecosystem; Carbon Dioxide; Fires; Forests; Wildfires; Ponds; Biomass; Dissolved Organic Matter; Fresh Water; Organic Chemicals; Ecosystem; Models, Biological; Time Factors; Temperature; Population Dynamics; Ecology; Animals; Plankton; Seasons; Lakes; Time Factors; Phytoplankton; Zooplankton; Ecosystem; Animals; Antelopes; Bacteria; Ecosystem; Animals; Anthropogenic Effects; Ecosystem; Europe; Guidelines as Topic; Lakes; North America; Salinity; Water Quality; Zooplankton"
"Tenner, Andrea",prof,research,"Tenner, Andrea[Author] AND Irvine[Affiliation] OR Tenner, A[Author] AND Irvine[Affiliation]","['40128350', '39844286', '39653749', '39147742', '38895362', '38572865', '38506634', '38460121', '38426371', '38278523', '37873302', '37726739', '37662399', '36803190', '36750318', '36462718', '35978440', '35820938', '35140584']","Alzheimer Disease; Humans; Animals; Complement System Proteins; Animals; Microglia; Mice; Alzheimer Disease; Plaque, Amyloid; tau Proteins; Mice, Transgenic; Disease Models, Animal; Tauopathies; Brain; Apolipoproteins E; Humans; Humans; Alzheimer Disease; Animals; Neuroinflammatory Diseases; Inflammation; Immunity, Innate; Animals; Receptor, Anaphylatoxin C5a; Alzheimer Disease; Disease Models, Animal; Mice; Female; Male; Signal Transduction; Microglia; Hippocampus; Neuroglia; Astrocytes; Mice, Transgenic; Humans; Mice, Inbred C57BL; Animals; Female; Humans; Male; Mice; Alzheimer Disease; Amyloid beta-Peptides; Disease Models, Animal; Gastrointestinal Microbiome; Gene Knock-In Techniques; Genotype; Metabolomics; Mice, Transgenic; Microbiota; Sex Characteristics; Animals; Mice; ATP-Binding Cassette Transporters; Plaque, Amyloid; Amyloid beta-Peptides; Alzheimer Disease; Mice, Transgenic; Neurons; Disease Models, Animal; Humans; Brain; Microglia; Phagocytosis; Amyloid beta-Protein Precursor; Animals; Mice; Alzheimer Disease; Amyloid beta-Peptides; Disease Models, Animal; Mice, Transgenic; Neuroglia; Plaque, Amyloid; Humans; Mice; Humans; Female; Animals; Alzheimer Disease; Plaque, Amyloid; Resilience, Psychological; Mice, Inbred C57BL; Microglia; Genetic Variation; Disease Models, Animal; Mice, Transgenic; Amyloid beta-Peptides; Mice; Animals; Humans; Alzheimer Disease; Synapses; Long-Term Potentiation; Disease Models, Animal; Animals; Mice; Alzheimer Disease; Complement C1q; Disease Models, Animal; Gastrointestinal Microbiome; Neurodegenerative Diseases; Neuroinflammatory Diseases; Receptors, Complement; Mice; Animals; Alzheimer Disease; Cuprizone; RNA Splicing; Mutation; Plaque, Amyloid; Disease Models, Animal; Demyelinating Diseases; Microglia; Brain; Membrane Glycoproteins; Receptors, Immunologic; Humans; Animals; Neuroinflammatory Diseases; Neuroprotection; Brain; Complement System Proteins; Neuronal Plasticity; Microglia; Mice; Animals; Alzheimer Disease; Calcium; Mice, Transgenic; Neurons; Memory Disorders; Hippocampus; Disease Models, Animal; Alzheimer Disease; Animals; Disease Models, Animal; Disease Progression; Mice; Microglia; Neurodegenerative Diseases; Receptor, Anaphylatoxin C5a; Alzheimer Disease; Animals; Biological Phenomena; Mice; Microglia; Plaque, Amyloid; Receptor, Anaphylatoxin C5a; Signal Transduction"
"Thompson-Peer, Katherine",asst prof,research,"Thompson-Peer, Katherine[Author] AND Irvine[Affiliation] OR Thompson-Peer, K[Author] AND Irvine[Affiliation]","['39433621', '38825174', '36547263']","Animals; Dendrites; Neurodegenerative Diseases; Disease Models, Animal; Neuroprotection; Drosophila; Drosophila melanogaster; Peptides; Neurons; Dendrites; Animals; Calcium; Nerve Regeneration; Humans; Mice; Potassium Channels, Inwardly Rectifying; Mice, Transgenic; Humans; Integrins; Endothelial Cells; Huntington Disease; Neuroglia; Blood-Brain Barrier; Extracellular Matrix"
"Thompson, Leslie",prof,research,"Thompson, Leslie[Author] AND Irvine[Affiliation] OR Thompson, L[Author] AND Irvine[Affiliation]","['40482637', '40258535', '40089066', '39913709', '39809899', '39762660', '39737949', '39391934', '39331414', '39307401', '39282421', '39178144', '39074279', '39005258', '38968054', '38949341', '38872308', '38697975', '38608784', '38523130']","Huntingtin Protein; Humans; Neurons; Cerebral Cortex; Trinucleotide Repeat Expansion; Huntington Disease; Cell Differentiation; Gene Knockout Techniques; Humans; Quantitative Trait Loci; Brain; Gene Expression Regulation; Tandem Repeat Sequences; Amyotrophic Lateral Sclerosis; Phenotype; Alzheimer Disease; Genetic Variation; Male; C9orf72 Protein; Female; Multiomics; Huntington Disease; Animals; Humans; DNA-Binding Proteins; Mice; Huntingtin Protein; Methyltransferases; Alternative Splicing; Mice, Transgenic; RNA Splicing; Brain; Adenosine; Male; RNA Methylation; Animals; Huntington Disease; Sumoylation; Mice, Transgenic; Mice; Corpus Striatum; Huntingtin Protein; Neurons; Disease Models, Animal; Cells, Cultured; Receptors, Metabotropic Glutamate; Male; Humans; Huntington Disease; Huntingtin Protein; Poly Adenosine Diphosphate Ribose; Signal Transduction; DNA Damage; Neurons; Induced Pluripotent Stem Cells; Fibroblasts; DNA Repair; Humans; Induced Pluripotent Stem Cells; Ataxin-1; Spinocerebellar Ataxias; Motor Neurons; Calcium Signaling; Cell Differentiation; Transcription, Genetic; Huntingtin Protein; Lysosomes; RNA-Binding Proteins; Humans; Ubiquitin; Mitochondria; Autophagy; Animals; Mitochondrial Proteins; Mice; Protein Binding; Huntington Disease; Peptides; Huntington Disease; Terminology as Topic; Humans; Biomedical Research; Amyotrophic Lateral Sclerosis; Humans; Chromatin; Promoter Regions, Genetic; Algorithms; Gene Expression Regulation; Chromatin Immunoprecipitation Sequencing; Histones; Humans; Amyotrophic Lateral Sclerosis; Induced Pluripotent Stem Cells; Motor Neurons; Male; Female; Middle Aged; Case-Control Studies; Chromatin; Aged; Epigenomics; Chromatin Immunoprecipitation Sequencing; Disease Progression; Epigenesis, Genetic; Animals; Huntington Disease; Brain-Derived Neurotrophic Factor; Disease Models, Animal; Synapses; Cerebral Cortex; Mice; Neurons; Mice, Transgenic; Cells, Cultured; Synapsins; Huntingtin Protein; Mice, Inbred C57BL; Humans; Male; Surgical Wound Infection; Female; Prospective Studies; Length of Stay; Middle Aged; Hospital Mortality; Adult; Aged; Rectum; Wound Closure Techniques; Colon"
"Thornton, Kevin",prof,research,"Thornton, Kevin[Author] AND Irvine[Affiliation] OR Thornton, K[Author] AND Irvine[Affiliation]","['37450583', '36173327']","Humans; Female; Male; Uncertainty; Mutation; Alleles; Genetics, Population; Software; Demography"
"Tinoco, Roberto",assoc prof,research,"Tinoco, Roberto[Author] AND Irvine[Affiliation] OR Tinoco, R[Author] AND Irvine[Affiliation]","['39912665', '39846843', '37704621', '37039663', '35774790', '35474500', '35303066']","Programmed Cell Death 1 Receptor; CD8-Positive T-Lymphocytes; Animals; Membrane Glycoproteins; Mice; Lymphocytic Choriomeningitis; Lymphocytic choriomeningitis virus; Mice, Knockout; Mice, Inbred C57BL; Chronic Disease; Persistent Infection; T-Cell Exhaustion; Animals; Lymphocytic choriomeningitis virus; Mice; CD8-Positive T-Lymphocytes; Prion Proteins; Cell Differentiation; Lymphocytic Choriomeningitis; Mice, Knockout; Mice, Inbred C57BL; Immunologic Memory; Lymphocyte Activation; Disease Models, Animal; PrPC Proteins; Humans; CD8-Positive T-Lymphocytes; HMGB2 Protein; Persistent Infection; Cell Differentiation; Virus Diseases; Neoplasms; CD8-Positive T-Lymphocytes; Cell Differentiation; Lymphocytic Choriomeningitis; Lymphocytic choriomeningitis virus; Persistent Infection; Animals; Mice; Cell Survival; Up-Regulation; Cell Proliferation; CD8-Positive T-Lymphocytes; Hepatitis A Virus Cellular Receptor 2; Humans; Immune Checkpoint Inhibitors; Lymphocytic Choriomeningitis; Lymphocytic choriomeningitis virus; Membrane Glycoproteins; Programmed Cell Death 1 Receptor; Diet; Humans; Immunotherapy; Melanoma; Microbiota; Skin Neoplasms; Animals; Cell Line, Tumor; Humans; Immune Checkpoint Inhibitors; Melanoma; Membrane Glycoproteins; Mice; Mice, Inbred C57BL; Programmed Cell Death 1 Receptor"
"Treseder, Kathleen",prof,research,"Treseder, Kathleen[Author] AND Irvine[Affiliation] OR Treseder, K[Author] AND Irvine[Affiliation]","['40262767', '38740930', '38605488', '38059856', '37798477', '37104243', '36965002', '36763634', '36723077']","Soil Microbiology; Bacteria; Anti-Bacterial Agents; Drug Resistance, Bacterial; Alaska; Transcription, Genetic; Genome, Bacterial; Genes, Bacterial; Temperature; Global Warming; Transcriptome; Metagenomics; Bacteria; Metagenome; Microbiota; Uncertainty; Mycorrhizae; Soil; Carbon; Nitrogen; Ecosystem; Soil; Mycorrhizae; Soil Microbiology; Climate Change; Fungi; Life History Traits; Soil; Soil Microbiology; Ecosystem; Bacteria; Animals; United States; Humans; West Nile virus; West Nile Fever; Incidence; Canada; Cold Temperature; Animals; Arthropods; Ecosystem; Songbirds; Ants; Biomass; Lepidoptera; Climate Change; Policy; Technology"
"Tsai, Shiou-Chuan",prof,research,"Tsai, Shiou-Chuan[Author] AND Irvine[Affiliation] OR Tsai, S[Author] AND Irvine[Affiliation]","['39843750', '39013848', '38950089', '38879719', '38776491', '37873296', '37715952', '37205445', '36508764', '35438754']","Female; Humans; Male; Bipolar Disorder; Black or African American; Chromosome Mapping; Cohort Studies; Genetic Predisposition to Disease; Genome-Wide Association Study; Genomics; Hispanic or Latino; Phenotype; White; White People; Humans; Schizophrenia; Male; Female; Adult; Algorithms; Magnetic Resonance Imaging; Gray Matter; Machine Learning; Middle Aged; Brain; Cross-Sectional Studies; Europe; Neuroimaging; Reproducibility of Results; North America; Hippocampus; Humans; Antineoplastic Agents; Adult; Child; Oncology Nursing; Neoplasms; Patient Safety; Female; United States; Male; Societies, Nursing; Animals; Humans; Analgesics, Opioid; Brain; HIV Infections; Opioid-Related Disorders; Single-Cell Analysis; Comorbidity; Humans; Antineoplastic Agents; Adult; Child; Neoplasms; Medical Oncology; Patient Safety; Female; Pediatrics; Sebaceous Glands; Cell Differentiation; Skin; Hair Follicle; Epithelial Cells; Humans; Atrial Fibrillation; Heart; Electrocardiography, Ambulatory; Aged; Aged, 80 and over; Androgens; COVID-19; Hospitalization; Humans; Hypertension; Immunization, Passive; Male; Oxygen; SARS-CoV-2; Treatment Outcome; United States; COVID-19 Serotherapy; COVID-19 Drug Treatment"
"Walsh, Craig",prof,research,"Walsh, Craig[Author] AND Irvine[Affiliation] OR Walsh, C[Author] AND Irvine[Affiliation]","['40466634', '38478322', '37538042', '37352687', '37083696', '35615699']","Humans; Male; Female; Medication Adherence; HIV Infections; Smartphone; Motivational Interviewing; Middle Aged; Adult; Anti-HIV Agents; Alcoholism; Treatment Outcome; Assessment of Medication Adherence; Mice; Animals; Fluticasone; Transplantation, Homologous; Hematopoietic Stem Cell Transplantation; Graft vs Host Disease; Immunosuppressive Agents; Mice; Animals; Microglia; Murine hepatitis virus; Remyelination; Neuroinflammatory Diseases; White Matter; Demyelinating Diseases; Coronavirus Infections; Mice, Inbred C57BL; Humans; Mice; Animals; T-Lymphocytes, Regulatory; CD4-Positive T-Lymphocytes; Multiple Sclerosis; Lymphocyte Activation; Neural Stem Cells; Forkhead Transcription Factors; CD4 Antigens"
"Wang, Wenqi",assoc prof,research,"Wang, Wenqi[Author] AND Irvine[Affiliation] OR Wang, W[Author] AND Irvine[Affiliation]","['40479693', '40371737', '40279599', '40215501', '40167372', '40097783', '40058303', '40021189', '39920630', '39878999', '39752696', '39658552', '39572544', '39485985', '39485965', '39478222', '39454173', '39446060', '39423379', '39342998']","Animals; Animals, Domestic; Genotype; Humans; Transcriptome; Genomics; Phenotype; Particulate Matter; China; Air Pollution; Air Pollutants; Humans; Environmental Monitoring; Environmental Exposure; Mortality; Cities; Humans; Hippo Signaling Pathway; Protein Serine-Threonine Kinases; Transcription Factors; Drug Resistance, Neoplasm; DNA-Binding Proteins; Signal Transduction; Animals; Lung Neoplasms; Adenocarcinoma of Lung; Cell Line, Tumor; Mice; Xenograft Model Antitumor Assays; Metals, Heavy; Female; Phosphorylation; Gene Expression Regulation, Neoplastic; Antineoplastic Agents; Platinum; Humans; Protein Serine-Threonine Kinases; Hippo Signaling Pathway; Neoplasms; Signal Transduction; Mutation, Missense; Neurofibromin 2; Loss of Function Mutation; Cell Line, Tumor; Animals; Head and Neck Neoplasms; Mutation; Mice; Adaptor Proteins, Signal Transducing; Benzothiazoles; Oxidation-Reduction; Hydroxyl Radical; Models, Chemical; Oxygen; Air Pollutants; Kinetics; Saccharomyces cerevisiae; Plasmodium falciparum; Polyamines; Fluorescence; High-Throughput Screening Assays; Saccharomyces cerevisiae Proteins; Spermidine; Catalysis; Putrescine"
"Warrior, Rahul",prof,research,"Warrior, Rahul[Author] AND Irvine[Affiliation] OR Warrior, R[Author] AND Irvine[Affiliation]",['35027733'],"Cadmium; Cell Line, Tumor; DNA-Binding Proteins; Gene Expression Regulation; HEK293 Cells; HeLa Cells; Hippo Signaling Pathway; Homeostasis; Humans; Inactivation, Metabolic; Phosphorylation; Protein Serine-Threonine Kinases; Stress, Physiological; Transcription Factors; Transcription, Genetic; Tumor Suppressor Proteins; Zinc; Transcription Factor MTF-1"
"Whiteson, Katrine",assoc prof,research,"Whiteson, Katrine[Author] AND Irvine[Affiliation] OR Whiteson, K[Author] AND Irvine[Affiliation]","['40217076', '40034082', '39840957', '39699213', '39609616', '39584836', '39572010', '39387587', '39390603', '39384409', '39185190', '39020289', '38572865', '38526142', '38391189', '38157864', '37877698', '37780859', '37726739', '37338237']","Humans; Microbiota; Translational Research, Biomedical; Clostridioides difficile; Clostridium Infections; Precision Medicine; Biofilms; Pseudomonas aeruginosa; Pyocyanine; Optical Imaging; Stenotrophomonas maltophilia; Bacteriophages; Humans; Phage Therapy; Gram-Negative Bacterial Infections; Kinetics; Anti-Bacterial Agents; Wastewater; Genomics; Enterococcus faecium; Enterococcus faecalis; Anti-Bacterial Agents; Bacteriophages; Linezolid; Microbial Sensitivity Tests; Drug Resistance, Multiple, Bacterial; Vancomycin; Humans; Ampicillin; Gram-Positive Bacterial Infections; Humans; Metagenomics; Microbiota; Sputum; Cystic Fibrosis; Bronchoalveolar Lavage Fluid; Freezing; Adult; Cryopreservation; Female; High-Throughput Nucleotide Sequencing; Bacteria; Sequence Analysis, DNA; Male; Respiratory System; Tamoxifen; Gastrointestinal Microbiome; Humans; Mice; Animals; RNA, Ribosomal, 16S; Female; Bacteria; Breast Neoplasms; Antineoplastic Agents, Hormonal; Germ-Free Life; Anti-Bacterial Agents; Anti-Bacterial Agents; Escherichia coli; Microbial Sensitivity Tests; Microscopy, Fluorescence; Tetracycline; Humans; Drug Resistance, Bacterial; Biodiversity; Ecology; Microbiology; Societies, Scientific; United States; Biological Evolution; Humans; Microbiota; Humans; Alzheimer Disease; Gastrointestinal Microbiome; Animals; Brain-Gut Axis; Dementia; Brain; Humans; Endometriosis; Female; Gastrointestinal Microbiome; Adult; Case-Control Studies; Estonia; Cohort Studies; Middle Aged; Metagenomics; Dysbiosis; Young Adult; Animals; Female; Humans; Male; Mice; Alzheimer Disease; Amyloid beta-Peptides; Disease Models, Animal; Gastrointestinal Microbiome; Gene Knock-In Techniques; Genotype; Metabolomics; Mice, Transgenic; Microbiota; Sex Characteristics; Bacteriophages; Anti-Bacterial Agents; Phage Therapy; Humans; Culture Media; Microbial Sensitivity Tests; Bacteria; Drug Resistance, Bacterial; Humans; United States; Pilot Projects; Feasibility Studies; Diet, Mediterranean; Myeloproliferative Disorders; Inflammation; Neoplasms; Nutrients; Humans; Melanoma; Microbiota; Gastrointestinal Microbiome; Neoplasms; Immunotherapy; Host Microbial Interactions; Humans; Diet, Mediterranean; Gastrointestinal Microbiome; Myeloproliferative Disorders; Male; Female; Middle Aged; Aged; Inflammation; Adult; Longitudinal Studies; Bacteria; Humans; Pseudomonas aeruginosa; Staphylococcus aureus; Methicillin-Resistant Staphylococcus aureus; Staphylococcal Infections; Biofilms; Surface-Active Agents; Animals; Mice; Alzheimer Disease; Complement C1q; Disease Models, Animal; Gastrointestinal Microbiome; Neurodegenerative Diseases; Neuroinflammatory Diseases; Receptors, Complement; Adult; Humans; Child; Tobacco Smoke Pollution; Caregivers; Longitudinal Studies; RNA, Ribosomal, 16S; Antioxidants; Microbiota; Streptococcus; Inflammation"
"Wiles, Travis",asst prof,research,"Wiles, Travis[Author] AND Irvine[Affiliation] OR Wiles, T[Author] AND Irvine[Affiliation] OR 0000-0002-5336-7565[Author - Identifier]","['40251446', '39576112', '38915633', '37401381']","Zebrafish; Animals; Gastrointestinal Microbiome; Bacteriophages; Virion; Escherichia coli; Humans; Brain; Zebrafish; Type VI Secretion Systems; Animals; Macrophages; Gastrointestinal Motility; Vibrio cholerae; Intestines; Bacterial Proteins; Animals; Zebrafish; Hyperglycemia; Metronidazole; Diabetes Mellitus; Nitroreductases; Animals, Genetically Modified"
