Faculty_Full_Name,Rank,Professor Type,Faculty,Faculty_Author,Faculty_Author_Affiliation,pmids,pub_mesh_terms
"Symons, Celia",asst prof,research,"Symons, Celia","Symons, Celia[Author]","Symons, Celia[Author] AND Irvine[Affiliation]","['40198102', '38840430', '38273540', '38273537', '36930600', '36707927', '35315562', '35193976']","Ecosystem; Biodiversity; Conservation of Natural Resources; Humans; Climate Change; Lakes; Wildfires; Smoke; Ecosystem; North America; Environmental Monitoring; Ecosystem; Carbon Dioxide; Fires; Forests; Wildfires; Ponds; Biomass; Dissolved Organic Matter; Fresh Water; Organic Chemicals; Ecosystem; Models, Biological; Time Factors; Temperature; Population Dynamics; Ecology; Animals; Plankton; Seasons; Lakes; Time Factors; Phytoplankton; Zooplankton; Ecosystem; Animals; Antelopes; Bacteria; Ecosystem; Animals; Anthropogenic Effects; Ecosystem; Europe; Guidelines as Topic; Lakes; North America; Salinity; Water Quality; Zooplankton"
"Tenner, Andrea",prof,research,"Tenner, Andrea","Tenner, Andrea[Author]","Tenner, Andrea[Author] AND Irvine[Affiliation]","['40128350', '39844286', '39653749', '39147742', '38895362', '38572865', '38506634', '38460121', '38426371', '38278523', '37873302', '37726739', '37662399', '36803190', '36750318', '36462718', '35978440', '35820938', '35140584']","Animals; Microglia; Mice; Alzheimer Disease; Plaque, Amyloid; tau Proteins; Mice, Transgenic; Disease Models, Animal; Tauopathies; Brain; Apolipoproteins E; Humans; Humans; Alzheimer Disease; Animals; Neuroinflammatory Diseases; Inflammation; Immunity, Innate; Animals; Receptor, Anaphylatoxin C5a; Alzheimer Disease; Disease Models, Animal; Mice; Female; Male; Signal Transduction; Microglia; Hippocampus; Neuroglia; Astrocytes; Mice, Transgenic; Humans; Mice, Inbred C57BL; Animals; Female; Humans; Male; Mice; Alzheimer Disease; Amyloid beta-Peptides; Disease Models, Animal; Gastrointestinal Microbiome; Gene Knock-In Techniques; Genotype; Metabolomics; Mice, Transgenic; Microbiota; Sex Characteristics; Animals; Mice; ATP-Binding Cassette Transporters; Plaque, Amyloid; Amyloid beta-Peptides; Alzheimer Disease; Mice, Transgenic; Neurons; Disease Models, Animal; Humans; Brain; Microglia; Phagocytosis; Amyloid beta-Protein Precursor; Animals; Mice; Alzheimer Disease; Amyloid beta-Peptides; Disease Models, Animal; Mice, Transgenic; Neuroglia; Plaque, Amyloid; Humans; Mice; Humans; Female; Animals; Alzheimer Disease; Plaque, Amyloid; Resilience, Psychological; Mice, Inbred C57BL; Microglia; Genetic Variation; Disease Models, Animal; Mice, Transgenic; Amyloid beta-Peptides; Mice; Animals; Humans; Alzheimer Disease; Synapses; Long-Term Potentiation; Disease Models, Animal; Animals; Mice; Alzheimer Disease; Complement C1q; Disease Models, Animal; Gastrointestinal Microbiome; Neurodegenerative Diseases; Neuroinflammatory Diseases; Receptors, Complement; Mice; Animals; Alzheimer Disease; Cuprizone; RNA Splicing; Mutation; Plaque, Amyloid; Disease Models, Animal; Demyelinating Diseases; Microglia; Brain; Membrane Glycoproteins; Receptors, Immunologic; Humans; Animals; Neuroinflammatory Diseases; Neuroprotection; Brain; Complement System Proteins; Neuronal Plasticity; Microglia; Mice; Animals; Alzheimer Disease; Calcium; Mice, Transgenic; Neurons; Memory Disorders; Hippocampus; Disease Models, Animal; Alzheimer Disease; Animals; Disease Models, Animal; Disease Progression; Mice; Microglia; Neurodegenerative Diseases; Receptor, Anaphylatoxin C5a; Alzheimer Disease; Animals; Biological Phenomena; Mice; Microglia; Plaque, Amyloid; Receptor, Anaphylatoxin C5a; Signal Transduction"
"Thompson-Peer, Katherine",asst prof,research,"Thompson-Peer, Katherine","Thompson-Peer, Katherine[Author]","Thompson-Peer, Katherine[Author] AND Irvine[Affiliation]","['39433621', '38825174', '36547263']","Animals; Dendrites; Neurodegenerative Diseases; Disease Models, Animal; Neuroprotection; Drosophila; Drosophila melanogaster; Peptides; Neurons; Dendrites; Animals; Calcium; Nerve Regeneration; Humans; Mice; Potassium Channels, Inwardly Rectifying; Mice, Transgenic; Humans; Integrins; Endothelial Cells; Huntington Disease; Neuroglia; Blood-Brain Barrier; Extracellular Matrix"
"Thompson, Leslie",prof,research,"Thompson, Leslie","Thompson, Leslie[Author]","Thompson, Leslie[Author] AND Irvine[Affiliation]","['40258535', '40089066', '39809899', '39762660', '39391934', '39331414', '39307401', '39282421', '39074279', '39005258', '38968054', '38872308', '38697975', '38608784', '37863037', '37807512', '36864071', '36764301', '36754966', '36631473']","Humans; Quantitative Trait Loci; Brain; Gene Expression Regulation; Tandem Repeat Sequences; Amyotrophic Lateral Sclerosis; Phenotype; Alzheimer Disease; Genetic Variation; Male; C9orf72 Protein; Female; Multiomics; Huntington Disease; Animals; Humans; DNA-Binding Proteins; Mice; Huntingtin Protein; Methyltransferases; Alternative Splicing; Mice, Transgenic; RNA Splicing; Brain; Adenosine; Male; RNA Methylation; Animals; Huntington Disease; Sumoylation; Mice, Transgenic; Mice; Corpus Striatum; Huntingtin Protein; Neurons; Disease Models, Animal; Cells, Cultured; Receptors, Metabotropic Glutamate; Male; Humans; Huntington Disease; Huntingtin Protein; Poly Adenosine Diphosphate Ribose; Signal Transduction; DNA Damage; Neurons; Induced Pluripotent Stem Cells; Fibroblasts; DNA Repair; Humans; Induced Pluripotent Stem Cells; Ataxin-1; Spinocerebellar Ataxias; Motor Neurons; Calcium Signaling; Cell Differentiation; Transcription, Genetic; Huntingtin Protein; Lysosomes; RNA-Binding Proteins; Humans; Ubiquitin; Mitochondria; Autophagy; Animals; Mitochondrial Proteins; Mice; Protein Binding; Huntington Disease; Peptides; Huntington Disease; Terminology as Topic; Humans; Biomedical Research; Amyotrophic Lateral Sclerosis; Humans; Chromatin; Promoter Regions, Genetic; Algorithms; Gene Expression Regulation; Chromatin Immunoprecipitation Sequencing; Histones; Humans; Amyotrophic Lateral Sclerosis; Induced Pluripotent Stem Cells; Motor Neurons; Male; Female; Middle Aged; Case-Control Studies; Chromatin; Aged; Epigenomics; Chromatin Immunoprecipitation Sequencing; Disease Progression; Epigenesis, Genetic; Animals; Huntington Disease; Brain-Derived Neurotrophic Factor; Disease Models, Animal; Synapses; Cerebral Cortex; Mice; Neurons; Mice, Transgenic; Cells, Cultured; Synapsins; Huntingtin Protein; Mice, Inbred C57BL; Humans; Huntington Disease; Spinocerebellar Ataxias; Ataxin-1; Proteins; Trinucleotide Repeats; Nervous System Diseases; Genetic Association Studies; Trinucleotide Repeat Expansion; Humans; Mice; Animals; Huntington Disease; Corpus Striatum; Neural Stem Cells; Neurons; Phenotype; Disease Models, Animal; Mice, Transgenic; Huntingtin Protein; Humans; Amyotrophic Lateral Sclerosis; Induced Pluripotent Stem Cells; Motor Neurons; Cell Differentiation; Animals; Mice; Artificial Intelligence; Disease Models, Animal; Huntingtin Protein; Huntington Disease; Induced Pluripotent Stem Cells; Mitochondria; Neurons; Phenotype; Proteomics; Humans; Humans; Induced Pluripotent Stem Cells; Motor Neurons; Pluripotent Stem Cells; Proteome; Proteomics"
"Thornton, Kevin",prof,research,"Thornton, Kevin","Thornton, Kevin[Author]","Thornton, Kevin[Author] AND Irvine[Affiliation]","['37450583', '36173327']","Humans; Female; Male; Uncertainty; Mutation; Alleles; Genetics, Population; Software; Demography"
"Tinoco, Roberto",assoc prof,research,"Tinoco, Roberto","Tinoco, Roberto[Author]","Tinoco, Roberto[Author] AND Irvine[Affiliation]","['39912665', '39846843', '37704621', '37039663', '35774790', '35474500', '35303066']","Programmed Cell Death 1 Receptor; CD8-Positive T-Lymphocytes; Animals; Membrane Glycoproteins; Mice; Lymphocytic Choriomeningitis; Lymphocytic choriomeningitis virus; Mice, Knockout; Mice, Inbred C57BL; Chronic Disease; Persistent Infection; T-Cell Exhaustion; Animals; Lymphocytic choriomeningitis virus; Mice; CD8-Positive T-Lymphocytes; Prion Proteins; Cell Differentiation; Lymphocytic Choriomeningitis; Mice, Knockout; Mice, Inbred C57BL; Immunologic Memory; Lymphocyte Activation; Disease Models, Animal; PrPC Proteins; Humans; CD8-Positive T-Lymphocytes; HMGB2 Protein; Persistent Infection; Cell Differentiation; Virus Diseases; Neoplasms; CD8-Positive T-Lymphocytes; Cell Differentiation; Lymphocytic Choriomeningitis; Lymphocytic choriomeningitis virus; Persistent Infection; Animals; Mice; Cell Survival; Up-Regulation; Cell Proliferation; CD8-Positive T-Lymphocytes; Hepatitis A Virus Cellular Receptor 2; Humans; Immune Checkpoint Inhibitors; Lymphocytic Choriomeningitis; Lymphocytic choriomeningitis virus; Membrane Glycoproteins; Programmed Cell Death 1 Receptor; Diet; Humans; Immunotherapy; Melanoma; Microbiota; Skin Neoplasms; Animals; Cell Line, Tumor; Humans; Immune Checkpoint Inhibitors; Melanoma; Membrane Glycoproteins; Mice; Mice, Inbred C57BL; Programmed Cell Death 1 Receptor"
"Treseder, Kathleen",prof,research,"Treseder, Kathleen","Treseder, Kathleen[Author]","Treseder, Kathleen[Author] AND Irvine[Affiliation]","['40262767', '38740930', '38605488', '38059856', '37798477', '37104243', '36965002', '36763634']","Soil Microbiology; Bacteria; Anti-Bacterial Agents; Drug Resistance, Bacterial; Alaska; Transcription, Genetic; Genome, Bacterial; Genes, Bacterial; Temperature; Global Warming; Transcriptome; Metagenomics; Bacteria; Metagenome; Microbiota; Uncertainty; Mycorrhizae; Soil; Carbon; Nitrogen; Ecosystem; Soil; Mycorrhizae; Soil Microbiology; Climate Change; Fungi; Life History Traits; Soil; Soil Microbiology; Ecosystem; Bacteria; Animals; United States; Humans; West Nile virus; West Nile Fever; Incidence; Canada; Cold Temperature; Animals; Arthropods; Ecosystem; Songbirds; Ants; Biomass; Lepidoptera"
"Tsai, Shiou-Chuan",prof,research,"Tsai, Shiou-Chuan","Tsai, Shiou-Chuan[Author]","Tsai, Shiou-Chuan[Author] AND Irvine[Affiliation]",[],
"Walsh, Craig",prof,research,"Walsh, Craig","Walsh, Craig[Author]","Walsh, Craig[Author] AND Irvine[Affiliation]","['37538042', '37352687', '37083696', '35615699']","Mice; Animals; Fluticasone; Transplantation, Homologous; Hematopoietic Stem Cell Transplantation; Graft vs Host Disease; Immunosuppressive Agents; Mice; Animals; Microglia; Murine hepatitis virus; Remyelination; Neuroinflammatory Diseases; White Matter; Demyelinating Diseases; Coronavirus Infections; Mice, Inbred C57BL; Humans; Mice; Animals; T-Lymphocytes, Regulatory; CD4-Positive T-Lymphocytes; Multiple Sclerosis; Lymphocyte Activation; Neural Stem Cells; Forkhead Transcription Factors; CD4 Antigens"
"Wang, Wenqi",assoc prof,research,"Wang, Wenqi","Wang, Wenqi[Author]","Wang, Wenqi[Author] AND Irvine[Affiliation]","['39920630', '39658552', '39572544', '38612874', '38319785', '37937799', '37595580', '37423592', '37130167', '37080959', '37073568', '36971347', '36795754', '36682002', '36376293', '36300003', '36191197', '36129980', '39872111', '36068349']","Humans; Hippo Signaling Pathway; Protein Serine-Threonine Kinases; DNA-Binding Proteins; Transcription Factors; Drug Resistance, Neoplasm; Transcription Factor MTF-1; Lung Neoplasms; Mice; Animals; Cell Line, Tumor; Signal Transduction; Adenocarcinoma of Lung; Metals, Heavy; Tumor Suppressor Proteins; Phosphorylation; Antineoplastic Agents; Xenograft Model Antitumor Assays; Platinum Compounds; Female; Gene Expression Regulation, Neoplastic; Humans; Protein Serine-Threonine Kinases; Hippo Signaling Pathway; Neoplasms; Signal Transduction; Mutation, Missense; Neurofibromin 2; Loss of Function Mutation; Cell Line, Tumor; Animals; Head and Neck Neoplasms; Mutation; Mice; Adaptor Proteins, Signal Transducing; Phosphoric Monoester Hydrolases; Hippo Signaling Pathway; Genes, Regulator; Signal Transduction; Transcription Factors; Neoplasms; Autophagy-Related Protein 8 Family; Phosphorylation; Pyridines; Autophagy; Humans; Hippo Signaling Pathway; Autophagy; Protein Serine-Threonine Kinases; Intracellular Signaling Peptides and Proteins; Adaptor Proteins, Signal Transducing; AMP-Activated Protein Kinases; Transcription Factors; Microtubule-Associated Proteins; Phosphoric Monoester Hydrolases; Head and Neck Neoplasms; Serine; Serine-Threonine Kinase 3; Calmodulin-Binding Proteins; Animals; Mice; Cell Survival; Hippo Signaling Pathway; Autophagy; Organ Size; N-Myc Proto-Oncogene Protein; Gene Regulatory Networks; Endoderm; Cell Differentiation; Transcription Factors; Gene Expression Regulation, Developmental; Humans; Adaptor Proteins, Signal Transducing; Signal Transduction; Transcription Factors; Inflammation; Immunity, Innate; Humans; Cell Line, Tumor; Cell Proliferation; Hippo Signaling Pathway; RNA, Long Noncoding; Signal Transduction; Transcription Factors; Humans; Hippo Signaling Pathway; Protein Serine-Threonine Kinases; Signal Transduction; Drosophila Proteins; Neoplasms; Histones; Histone Deacetylase 1; Chromatin; Blastocyst; Histone Deacetylases; Embryonic Development; Acetylation; Histone Deacetylase 2; Humans; Female; RNA, Long Noncoding; Ubiquitination; Ubiquitin-Protein Ligases; Lung Neoplasms; Breast Neoplasms; Receptor, Notch1; Protein Interaction Maps; Proteomics; Proteins; Signal Transduction; Mass Spectrometry; Protein Interaction Mapping; Animals; Humans; Mice; B7-H1 Antigen; Glycosylation; Immunotherapy; Neoplasms; Tumor Escape; Tumor Suppressor Proteins; Ubiquitin-Protein Ligases; Ubiquitination; Dynactin Complex; Dyneins; Glycogen Synthase Kinase 3 beta; Kinesins; Microtubule-Associated Proteins; Microtubules; Organelles"
"Warrior, Rahul",prof,research,"Warrior, Rahul","Warrior, Rahul[Author]","Warrior, Rahul[Author] AND Irvine[Affiliation]",['35027733'],"Cadmium; Cell Line, Tumor; DNA-Binding Proteins; Gene Expression Regulation; HEK293 Cells; HeLa Cells; Hippo Signaling Pathway; Homeostasis; Humans; Inactivation, Metabolic; Phosphorylation; Protein Serine-Threonine Kinases; Stress, Physiological; Transcription Factors; Transcription, Genetic; Tumor Suppressor Proteins; Zinc; Transcription Factor MTF-1"
"Whiteson, Katrine",assoc prof,research,"Whiteson, Katrine","Whiteson, Katrine[Author]","Whiteson, Katrine[Author] AND Irvine[Affiliation]","['40217076', '40034082', '39840957', '39699213', '39609616', '39584836', '39572010', '39387587', '39390603', '39384409', '39185190', '39020289', '38572865', '38526142', '38391189', '38157864', '37877698', '37780859', '37726739', '37338237']","Humans; Microbiota; Translational Research, Biomedical; Clostridioides difficile; Clostridium Infections; Precision Medicine; Pseudomonas aeruginosa; Biofilms; Pyocyanine; Optical Imaging; Stenotrophomonas maltophilia; Bacteriophages; Humans; Phage Therapy; Gram-Negative Bacterial Infections; Kinetics; Anti-Bacterial Agents; Wastewater; Genomics; Enterococcus faecium; Enterococcus faecalis; Anti-Bacterial Agents; Bacteriophages; Linezolid; Microbial Sensitivity Tests; Drug Resistance, Multiple, Bacterial; Vancomycin; Humans; Ampicillin; Gram-Positive Bacterial Infections; Humans; Metagenomics; Microbiota; Sputum; Cystic Fibrosis; Bronchoalveolar Lavage Fluid; Freezing; Adult; Cryopreservation; Female; High-Throughput Nucleotide Sequencing; Bacteria; Sequence Analysis, DNA; Male; Respiratory System; Tamoxifen; Gastrointestinal Microbiome; Humans; Mice; Animals; RNA, Ribosomal, 16S; Female; Bacteria; Breast Neoplasms; Antineoplastic Agents, Hormonal; Germ-Free Life; Anti-Bacterial Agents; Anti-Bacterial Agents; Escherichia coli; Microbial Sensitivity Tests; Microscopy, Fluorescence; Tetracycline; Humans; Drug Resistance, Bacterial; Biodiversity; Ecology; Microbiology; Societies, Scientific; United States; Biological Evolution; Humans; Microbiota; Humans; Alzheimer Disease; Gastrointestinal Microbiome; Animals; Brain-Gut Axis; Dementia; Brain; Humans; Endometriosis; Female; Gastrointestinal Microbiome; Adult; Case-Control Studies; Estonia; Cohort Studies; Middle Aged; Metagenomics; Dysbiosis; Young Adult; Animals; Female; Humans; Male; Mice; Alzheimer Disease; Amyloid beta-Peptides; Disease Models, Animal; Gastrointestinal Microbiome; Gene Knock-In Techniques; Genotype; Metabolomics; Mice, Transgenic; Microbiota; Sex Characteristics; Bacteriophages; Anti-Bacterial Agents; Phage Therapy; Humans; Culture Media; Microbial Sensitivity Tests; Bacteria; Drug Resistance, Bacterial; Humans; United States; Pilot Projects; Feasibility Studies; Diet, Mediterranean; Myeloproliferative Disorders; Inflammation; Neoplasms; Nutrients; Humans; Melanoma; Microbiota; Gastrointestinal Microbiome; Neoplasms; Immunotherapy; Host Microbial Interactions; Humans; Diet, Mediterranean; Gastrointestinal Microbiome; Myeloproliferative Disorders; Male; Female; Middle Aged; Aged; Inflammation; Adult; Longitudinal Studies; Bacteria; Humans; Pseudomonas aeruginosa; Staphylococcus aureus; Methicillin-Resistant Staphylococcus aureus; Staphylococcal Infections; Biofilms; Surface-Active Agents; Animals; Mice; Alzheimer Disease; Complement C1q; Disease Models, Animal; Gastrointestinal Microbiome; Neurodegenerative Diseases; Neuroinflammatory Diseases; Receptors, Complement; Adult; Humans; Child; Tobacco Smoke Pollution; Caregivers; Longitudinal Studies; RNA, Ribosomal, 16S; Antioxidants; Microbiota; Streptococcus; Inflammation"
"Wiles, Travis",asst prof,research,"Wiles, TJ ","Wiles, TJ [Author]","Wiles, TJ [Author] AND Irvine[Affiliation] OR 0000-0002-5336-7565[Author - Identifier]","['40251446', '39576112', '38915633', '37401381']","Zebrafish; Type VI Secretion Systems; Animals; Macrophages; Gastrointestinal Motility; Vibrio cholerae; Intestines; Bacterial Proteins; Animals; Zebrafish; Hyperglycemia; Metronidazole; Diabetes Mellitus; Nitroreductases; Animals, Genetically Modified"
"Wood, Marcelo",prof,research,"Wood, Marcelo","Wood, Marcelo[Author]","Wood, Marcelo[Author] AND Irvine[Affiliation]","['39677714', '39293721', '39137861', '38895278', '38714691', '38575342', '38489267', '38460121', '38426371', '38319152', '38278523', '37873302', '37385377', '37377749', '37333407', '36803190', '36607431', '36334265', '35921439', '35835742']","Animals; Mice; Female; Reproducibility of Results; Neurogenesis; Brain; Radiotherapy Dosage; Long-Term Potentiation; Hippocampus; Mice, Inbred C57BL; Animals; Physical Conditioning, Animal; Hippocampus; Male; Mice; Mice, Inbred C57BL; Brain-Derived Neurotrophic Factor; Cognition; Memory, Long-Term; Spatial Memory; Animals; Female; Humans; Male; Mice; Activin Receptors, Type I; Aging; Epigenesis, Genetic; Hippocampus; Memory, Long-Term; Mice, Inbred C57BL; Neuronal Plasticity; Physical Conditioning, Animal; Promoter Regions, Genetic; Animals; Hippocampus; Mice; Male; Female; Intellectual Disability; Jumonji Domain-Containing Histone Demethylases; Memory Consolidation; Memory, Long-Term; Long-Term Potentiation; Mice, Inbred C57BL; DNA-Binding Proteins; Mice; Animals; Habenula; Cocaine; Memory; Gene Expression Regulation; Recurrence; Animals; Mice; Alzheimer Disease; Amyloid beta-Peptides; Disease Models, Animal; Mice, Transgenic; Neuroglia; Plaque, Amyloid; Humans; Mice; Humans; Female; Animals; Alzheimer Disease; Plaque, Amyloid; Resilience, Psychological; Mice, Inbred C57BL; Microglia; Genetic Variation; Disease Models, Animal; Mice, Transgenic; Amyloid beta-Peptides; Mice; Humans; Animals; RNA, Catalytic; RNA, Messenger; Polyadenylation; Memory, Long-Term; Neurons; RNA-Binding Proteins; Mice; Animals; Humans; Alzheimer Disease; Synapses; Long-Term Potentiation; Disease Models, Animal; Mice; Animals; Neuronal Plasticity; Long-Term Potentiation; Hippocampus; Synaptic Transmission; Male; Mice; Female; Animals; Neuroinflammatory Diseases; Long-Term Potentiation; Neuronal Plasticity; Radiation Dose Hypofractionation; Mice; Animals; Alzheimer Disease; Cuprizone; RNA Splicing; Mutation; Plaque, Amyloid; Disease Models, Animal; Demyelinating Diseases; Microglia; Brain; Membrane Glycoproteins; Receptors, Immunologic; Female; Mice; Male; Animals; Hippocampus; Synapses; Long-Term Potentiation; Neuronal Plasticity; Radiation Exposure; Humans; Child; Male; Female; Animals; Mice; Disease Models, Animal; Brain Neoplasms; Radiotherapy Dosage; Radiotherapy; Acetate-CoA Ligase; Acetyl Coenzyme A; Acetylation; Animals; Conditioning, Classical; Fear; Hippocampus; Histones; Memory Consolidation; Mice; Mice, Knockout; Rats; Animals; Circadian Rhythm; Entropy; Mental Disorders; Mental Health; Sleep"
"Xue, Katherine",asst prof,research,"Xue, Katherine","Xue, Katherine[Author]","Xue, Katherine[Author] AND Irvine[Affiliation] OR 0000-0002-4094-3615[Author - Identifier]","['40063808', '40063791', '39314287', '39005283', '38076867', '37808827']","Gastrointestinal Microbiome; Models, Biological; Bacteria; Coculture Techniques; Humans; Gastrointestinal Microbiome; Animals; Microbiota; Phylogeny; Bacteria; Humans"
"Yassa, Michael",prof,research,"Yassa, Michael","Yassa, Michael[Author]","Yassa, Michael[Author] AND Irvine[Affiliation]","['40280213', '39843236', '39738288', '39583646', '39403075', '39345394', '39253484', '39241563', '39197547', '38811657', '38764776', '38632390', '38348178', '38328085', '38172140', '38129375', '38076904', '37961444', '37961236', '37961192']","Humans; Female; Male; Amyloid beta-Peptides; Aged; Positron-Emission Tomography; Temporal Lobe; Middle Aged; Discrimination, Psychological; Adult; Young Adult; Frontal Lobe; Aged, 80 and over; Neuropsychological Tests; Aniline Compounds; Humans; Aged; Male; Female; Exercise; Polysomnography; Sleep; Emotions; Aged, 80 and over; Memory Consolidation; Surveys and Questionnaires; Memory; Mental Recall; Quality of Life; Humans; Amyloid beta-Peptides; Biomarkers; Male; Female; Aged; Memory Disorders; Peptide Fragments; Positron-Emission Tomography; Aged, 80 and over; Alzheimer Disease; Cognition; Brain; Memory; Learning; Humans; Nucleus Accumbens; Anhedonia; Male; Female; Magnetic Resonance Imaging; Adult; Young Adult; Midline Thalamic Nuclei; Adolescent; Reward; Neural Pathways; Depression; Humans; Down Syndrome; Alzheimer Disease; Female; Male; Adult; Aged; Middle Aged; Cerebrovascular Disorders; Magnetic Resonance Imaging; Risk Factors; White Matter; Age Factors; Aging; tau Proteins; UK Biobank; Biological Specimen Banks; Ecosystem; Prospective Studies; Neuroimaging; Phenotype; Magnetic Resonance Imaging; Brain; Humans; Wakefulness; Hippocampus; Amygdala; Emotions; Electrophysiological Phenomena; Memory Consolidation; Humans; Learning; Hippocampus; Mental Recall; Memory, Episodic; Neocortex; Theta Rhythm"
